"Delta.M1","Delta.Inter","Delta.COV","Usa_Vel","Primavera_flag","Delta.prima","Sazo.Cycle","Delta.sazo","Delay","Error"
0.8,1,1,FALSE,"Sem",0.95,"Anual",1,4,0.191121134204341
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.95,11,0.191128821123496
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.191134566368345
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,8,0.191139030537568
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.191194885763889
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,0,0.191226180102409
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,12,0.191242881000811
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,0,0.191291479173595
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.96,12,0.191321728857105
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.97,3,0.191333705519669
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.97,4,0.191338300320753
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,5,0.19135621633214
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.96,4,0.191360119198604
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,10,0.191381265333603
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,0,0.19138900461692
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,6,0.191392054483979
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,5,0.191395009764797
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,1,0.191429751695173
0.9,1,1,TRUE,"Sem",0.95,"Anual",0.99,3,0.191434172286413
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,6,0.191467271177812
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,6,0.191467271177812
0.82,1,1,FALSE,"Sem",0.95,"Anual",1,4,0.191473692953149
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,11,0.191506263998057
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,8,0.191531861009933
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.191560658461572
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,5,0.191564802477656
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.99,9,0.191569377781932
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,7,0.191575147642689
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,0,0.191606968768091
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,0,0.191606968768091
0.8,1,1,FALSE,"Sem",0.95,"Anual",0.99,4,0.191655248499794
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.96,12,0.191764303709369
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.191767641627493
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,6,0.191778183818006
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,10,0.191818144926824
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.97,11,0.191821824786883
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.9,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.91,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.92,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.93,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.94,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.95,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.96,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.97,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.98,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",0.99,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Sem",1,11,0.19185420333848
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,8,0.191856005485728
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.97,6,0.191884721668303
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.191892710478892
