Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.8,0.9,0.99,0.96,2,1.413284451
0.8,0.9,0.99,0.97,1,0.789661498
0.8,0.9,0.99,0.97,2,1.398745761
0.8,0.9,0.99,0.98,1,0.787248102
0.8,0.9,0.99,0.98,2,1.387476957
0.8,0.9,0.99,0.99,1,0.785364786
0.8,0.9,0.99,0.99,2,1.378306055
0.8,0.9,0.99,1,1,0.783561424
0.8,0.9,0.99,1,2,1.370721435
0.8,0.9,1,0.9,1,0.841567225
0.8,0.9,1,0.9,2,2.046793722
0.8,0.9,1,0.91,1,0.827194075
0.8,0.9,1,0.91,2,1.738913507
0.8,0.9,1,0.92,1,0.816137977
0.8,0.9,1,0.92,2,1.591866321
0.8,0.9,1,0.93,1,0.807609723
0.8,0.9,1,0.93,2,1.510645822
0.8,0.9,1,0.94,1,0.801363642
0.8,0.9,1,0.94,2,1.462480529
0.8,0.9,1,0.95,1,0.796617875
0.8,0.9,1,0.95,2,1.432781657
0.8,0.9,1,0.96,1,0.792771528
0.8,0.9,1,0.96,2,1.412890454
0.8,0.9,1,0.97,1,0.789545535
0.8,0.9,1,0.97,2,1.398394742
0.8,0.9,1,0.98,1,0.787149839
0.8,0.9,1,0.98,2,1.387158501
0.8,0.9,1,0.99,1,0.785271104
0.8,0.9,1,0.99,2,1.378013544
0.8,0.9,1,1,1,0.783471491
0.8,0.9,1,1,2,1.370450368
0.8,0.91,0.9,0.9,1,0.832925691
0.8,0.91,0.9,0.9,2,1.81810318
0.8,0.91,0.9,0.91,1,0.820479717
0.8,0.91,0.9,0.91,2,1.6142643
0.8,0.91,0.9,0.92,1,0.810894346
0.8,0.91,0.9,0.92,2,1.512028627
0.8,0.91,0.9,0.93,1,0.803923187
0.8,0.91,0.9,0.93,2,1.456027671
0.8,0.91,0.9,0.94,1,0.798618762
0.8,0.91,0.9,0.94,2,1.422335588
0.8,0.91,0.9,0.95,1,0.794445773
0.8,0.91,0.9,0.95,2,1.400824996
0.8,0.91,0.9,0.96,1,0.791155184
0.8,0.91,0.9,0.96,2,1.386026186
0.8,0.91,0.9,0.97,1,0.788842205
0.8,0.91,0.9,0.97,2,1.375253199
0.8,0.91,0.9,0.98,1,0.786910877
0.8,0.91,0.9,0.98,2,1.366907764
0.8,0.91,0.9,0.99,1,0.785151066
0.8,0.91,0.9,0.99,2,1.360245146
0.8,0.91,0.9,1,1,0.783467077
0.8,0.91,0.9,1,2,1.354798873
0.8,0.91,0.91,0.9,1,0.832408051
0.8,0.91,0.91,0.9,2,1.813856415
0.8,0.91,0.91,0.91,1,0.820053232
0.8,0.91,0.91,0.91,2,1.611782777
0.8,0.91,0.91,0.92,1,0.81053813
0.8,0.91,0.91,0.92,2,1.51040669
0.8,0.91,0.91,0.93,1,0.803622085
0.8,0.91,0.91,0.93,2,1.454853227
0.8,0.91,0.91,0.94,1,0.798359471
0.8,0.91,0.91,0.94,2,1.42142586
0.8,0.91,0.91,0.95,1,0.794218506
0.8,0.91,0.91,0.95,2,1.400081768
0.8,0.91,0.91,0.96,1,0.790972005
0.8,0.91,0.91,0.96,2,1.385393219
0.8,0.91,0.91,0.97,1,0.78867739
0.8,0.91,0.91,0.97,2,1.374697029
0.8,0.91,0.91,0.98,1,0.7867575
0.8,0.91,0.91,0.98,2,1.366407903
0.8,0.91,0.91,0.99,1,0.785006591
0.8,0.91,0.91,0.99,2,1.359788658
0.8,0.91,0.91,1,1,0.783329691
0.8,0.91,0.91,1,2,1.354377231
0.8,0.91,0.92,0.9,1,0.831930504
0.8,0.91,0.92,0.9,2,1.810056093
0.8,0.91,0.92,0.91,1,0.819658909
0.8,0.91,0.92,0.91,2,1.609554178
0.8,0.91,0.92,0.92,1,0.810208052
0.8,0.91,0.92,0.92,2,1.508944983
0.8,0.91,0.92,0.93,1,0.8033425
0.8,0.91,0.92,0.93,2,1.453790734
0.8,0.91,0.92,0.94,1,0.798118171
0.8,0.91,0.92,0.94,2,1.420599851
0.8,0.91,0.92,0.95,1,0.794006535
0.8,0.91,0.92,0.95,2,1.399404696
0.8,0.91,0.92,0.96,1,0.790800537
0.8,0.91,0.92,0.96,2,1.38481492
0.8,0.91,0.92,0.97,1,0.788522665
0.8,0.91,0.92,0.97,2,1.374187642
0.8,0.91,0.92,0.98,1,0.78661323
0.8,0.91,0.92,0.98,2,1.365949139
0.8,0.91,0.92,0.99,1,0.784870456
0.8,0.91,0.92,0.99,2,1.359368959
0.8,0.91,0.92,1,1,0.783200029
0.8,0.91,0.92,1,2,1.35398897
0.8,0.91,0.93,0.9,1,0.831489506
0.8,0.91,0.93,0.9,2,1.806646321
0.8,0.91,0.93,0.91,1,0.819294015
0.8,0.91,0.93,0.91,2,1.607548443
0.8,0.91,0.93,0.92,1,0.809901969
0.8,0.91,0.93,0.92,2,1.507625371
0.8,0.91,0.93,0.93,1,0.80308272
0.8,0.91,0.93,0.93,2,1.45282811
0.8,0.91,0.93,0.94,1,0.79789347
0.8,0.91,0.93,0.94,2,1.419848887
0.8,0.91,0.93,0.95,1,0.793808703
0.8,0.91,0.93,0.95,2,1.398787149
0.8,0.91,0.93,0.96,1,0.790639964
0.8,0.91,0.93,0.96,2,1.38428595
0.8,0.91,0.93,0.97,1,0.788377321
0.8,0.91,0.93,0.97,2,1.373720564
0.8,0.91,0.93,0.98,1,0.786477436
0.8,0.91,0.93,0.98,2,1.365527609
0.8,0.91,0.93,0.99,1,0.784742089
0.8,0.91,0.93,0.99,2,1.358982645
0.8,0.91,0.93,1,1,0.783077569
0.8,0.91,0.93,1,2,1.353631046
0.8,0.91,0.94,0.9,1,0.831081806
0.8,0.91,0.94,0.9,2,1.803579053
0.8,0.91,0.94,0.91,1,0.818956026
0.8,0.91,0.94,0.91,2,1.60573942
0.8,0.91,0.94,0.92,1,0.809617892
0.8,0.91,0.94,0.92,2,1.506431907
0.8,0.91,0.94,0.93,1,0.802841154
0.8,0.91,0.94,0.93,2,1.451954635
0.8,0.91,0.94,0.94,1,0.79768407
0.8,0.91,0.94,0.94,2,1.419165213
0.8,0.91,0.94,0.95,1,0.793623926
0.8,0.91,0.94,0.95,2,1.398223165
0.8,0.91,0.94,0.96,1,0.790489513
0.8,0.91,0.94,0.96,2,1.383801491
0.8,0.91,0.94,0.97,1,0.78824069
0.8,0.91,0.94,0.97,2,1.373291747
0.8,0.91,0.94,0.98,1,0.786349521
0.8,0.91,0.94,0.98,2,1.365139811
0.8,0.91,0.94,0.99,1,0.78462095
0.8,0.91,0.94,0.99,2,1.358626622
0.8,0.91,0.94,1,1,0.782961814
0.8,0.91,0.94,1,2,1.353300688
0.8,0.91,0.95,0.9,1,0.830704428
0.8,0.91,0.95,0.9,2,1.800812883
0.8,0.91,0.95,0.91,1,0.818642619
0.8,0.91,0.95,0.91,2,1.604104328
0.8,0.91,0.95,0.92,1,0.809353981
0.8,0.91,0.95,0.92,2,1.505350565
0.8,0.91,0.95,0.93,1,0.802616324
0.8,0.91,0.95,0.93,2,1.451160796
0.8,0.91,0.95,0.94,1,0.797488759
0.8,0.91,0.95,0.94,2,1.418541907
0.8,0.91,0.95,0.95,1,0.793451195
0.8,0.91,0.95,0.95,2,1.397707398
0.8,0.91,0.95,0.96,1,0.790348458
0.8,0.91,0.95,0.96,2,1.383357205
0.8,0.91,0.95,0.97,1,0.788112141
0.8,0.91,0.95,0.97,2,1.372897531
0.8,0.91,0.95,0.98,1,0.786228923
0.8,0.91,0.95,0.98,2,1.364782572
0.8,0.91,0.95,0.99,1,0.784506529
0.8,0.91,0.95,0.99,2,1.358298083
0.8,0.91,0.95,1,1,0.782852299
0.8,0.91,0.95,1,2,1.352995372
0.8,0.91,0.96,0.9,1,0.830354656
0.8,0.91,0.96,0.9,2,1.798312047
0.8,0.91,0.96,0.91,1,0.818351661
0.8,0.91,0.96,0.91,2,1.602623292
0.8,0.91,0.96,0.92,1,0.809108541
0.8,0.91,0.96,0.92,2,1.504369001
0.8,0.91,0.96,0.93,1,0.802406861
0.8,0.91,0.96,0.93,2,1.45043816
0.8,0.91,0.96,0.94,1,0.797306416
0.8,0.91,0.96,0.94,2,1.417972788
0.8,0.91,0.96,0.95,1,0.79328957
0.8,0.91,0.96,0.95,2,1.397235049
0.8,0.91,0.96,0.96,1,0.790216116
0.8,0.91,0.96,0.96,2,1.382949187
0.8,0.91,0.96,0.97,1,0.787991084
0.8,0.91,0.96,0.97,2,1.372534616
0.8,0.91,0.96,0.98,1,0.786115115
0.8,0.91,0.96,0.98,2,1.364453023
0.8,0.91,0.96,0.99,1,0.78439835
0.8,0.91,0.96,0.99,2,1.357994481
