"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;1;0,86;0,85;8;0;76,7552352467567
1;0,97;0,85;0,96;8;0;76,7553356628581
1;0,9;0,99;0,99;8;0;76,7558481160149
1;0,98;0,83;0,95;8;0;76,7561565607061
1;0,98;0,87;0,9;8;0;76,7564236318303
1;0,97;0,88;0,94;8;0;76,7577266036712
1;0,99;0,81;0,97;8;0;76,7585471030477
1;0,99;0,82;0,92;8;0;76,7606661804556
1;0,96;0,87;1;8;0;76,7606779756287
1;0,99;0,88;0,92;8;0;76,7608905687174
1;0,9;1;0,94;8;0;76,7609670704853
1;0,99;0,83;0,89;8;0;76,7612837461426
1;1;0,88;0,91;8;0;76,7614896973157
1;0,98;0,86;0,89;8;0;76,7618643317839
1;0,96;0,88;0,98;8;0;76,7623731742414
1;0,96;0,89;0,99;8;0;76,7627364237396
1;0,97;0,89;0,98;8;0;76,7644095494431
1;0,99;0,87;0,88;8;0;76,7645838340654
1;0,89;1;0,97;8;0;76,7647266687904
1;0,97;0,86;0,93;8;0;76,7655300441595
1;0,98;0,89;1;8;0;76,7658102526642
1;0,97;0,84;1;8;0;76,7661593668635
1;0,9;0,99;0,98;8;0;76,7676694686059
1;0,98;0,82;1;8;0;76,7678843177642
1;0,99;0,84;0,87;8;0;76,7682258624544
1;1;0,8;0,95;8;0;76,7696677871915
1;0,98;0,84;0,91;8;0;76,7702791088248
1;1;0,85;0,84;8;0;76,7706836870235
1;0,97;0,85;0,95;8;0;76,7712385698409
1;0,96;0,87;0,99;8;0;76,7719905581302
1;0,97;0,87;0,92;8;0;76,7721983646185
1;0,98;0,88;0,92;8;0;76,7723102338825
1;0,98;0,83;0,94;8;0;76,7740330646182
1;0,91;0,99;1;8;0;76,7740672410736
1;0,96;0,89;0,98;8;0;76,7742102512789
1;0,97;0,88;0,93;8;0;76,7746495881107
1;0,99;0,81;0,96;8;0;76,7746785772977
1;0,99;0,85;0,86;8;0;76,7750392845902
1;0,96;0,88;0,97;8;0;76,7751782604847
1;0,98;0,89;0,99;8;0;76,775829328783
1;0,97;0,89;0,97;8;0;76,7763365096192
1;0,98;0,85;0,89;8;0;76,7765583154142
1;0,9;1;0,93;8;0;76,7782293905158
1;0,97;0,84;0,99;8;0;76,7782376482935
1;0,89;1;0,96;8;0;76,7788340949775
1;1;0,81;0,9;8;0;76,7792438540668
1;0,99;0,88;0,91;8;0;76,7799002832567
1;0,98;0,87;0,89;8;0;76,7800111235314
1;0,9;0,99;0,97;8;0;76,7804794394419
1;0,98;0,82;0,99;8;0;76,7805123921813
1;0,99;0,86;0,86;8;0;76,780724005785
1;1;0,82;0,87;8;0;76,7818503187113
1;1;0,88;0,9;8;0;76,7819930486983
1;1;0,87;0,86;8;0;76,7819954872147
1;1;0,84;0,84;8;0;76,7831871561494
1;0,99;0,82;0,91;8;0;76,7836661714544
1;0,96;0,87;0,98;8;0;76,7842224905915
1;0,91;0,99;0,99;8;0;76,7845482192751
1;0,97;0,86;0,92;8;0;76,7851294206416
1;1;0,83;0,85;8;0;76,7860772113572
1;0,99;0,89;1;8;0;76,7865720000867
1;0,98;0,89;0,98;8;0;76,7866191534933
1;0,96;0,89;0,97;8;0;76,7866254032578
1;0,91;1;1;8;0;76,7882015825255
1;0,98;0,86;0,88;8;0;76,7882929390343
1;0,97;0,85;0,94;8;0;76,7884785629162
1;1;0,8;0,94;8;0;76,7889939893903
1;0,96;0,88;0,96;8;0;76,789053981495
1;0,97;0,89;0,96;8;0;76,7892401385874
1;0,99;0,83;0,88;8;0;76,7896138279291
1;1;0,89;1;8;0;76,7911778235887
1;0,97;0,84;0,98;8;0;76,7912809949372
1;1;0,86;0,84;8;0;76,7914531094848
1;0,98;0,88;0,91;8;0;76,7916854024166
1;0,99;0,87;0,87;8;0;76,7920720501792
1;0,99;0,81;0,95;8;0;76,792115869104
1;0,97;0,87;0,91;8;0;76,7928182070147
1;0,97;0,88;0,92;8;0;76,7930465560876
1;0,98;0,83;0,93;8;0;76,7934025451642
1;0,98;0,84;0,9;8;0;76,7941093214409
1;0,98;0,82;0,98;8;0;76,7941362752838
1;0,89;1;0,95;8;0;76,7941438068734
1;0,9;0,99;0,96;8;0;76,7943754660983
1;0,91;0,98;1;8;0;76,794815678061
1;0,91;0,99;0,98;8;0;76,7958770578146
1;0,99;0,89;0,99;8;0;76,79649308071
1;0,9;1;0,92;8;0;76,797004453191
1;0,96;0,87;0,97;8;0;76,797464039598
1;0,98;0,89;0,97;8;0;76,7982599094535
1;0,91;1;0,99;8;0;76,7984649013817
1;0,96;0,89;0,96;8;0;76,8000763355308
1;0,99;0,88;0,9;8;0;76,8006120381723
