"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,9;0,92;0,99;8;0;0,147813401691395
1;0,94;0,84;0,99;8;0;0,147815869261057
1;0,95;0,93;1;7;0;0,147818082457034
1;0,96;0,89;1;7;0;0,147821292072407
1;0,93;0,89;1;8;0;0,147822569296394
1;0,96;0,9;1;7;0;0,147831830519123
1;0,91;0,9;0,99;8;0;0,147835605179516
1;0,92;0,91;1;8;0;0,147838040080068
1;0,89;0,97;1;7;0;0,147842505259164
1;0,91;0,93;1;8;0;0,147843056175593
1;0,96;0,88;1;7;0;0,147846861274118
1;0,95;0,82;0,99;8;0;0,14784940473825
1;0,88;0,99;1;7;0;0,147874642773297
1;0,96;0,91;1;7;0;0,147883692987109
1;1;0,86;1;7;0;0,147885614937737
1;1;0,85;1;7;0;0,147886862462868
1;0,95;0,88;1;7;0;0,14788882155783
1;0,99;0,95;0,99;8;0;0,147889471743437
1;0,97;0,88;1;7;0;0,14789047339517
1;0,98;0,8;1;8;0;0,147900091944511
1;0,94;0,97;1;7;0;0,147901113430932
1;0,94;0,89;1;7;0;0,147901690441328
1;0,97;0,87;1;7;0;0,147903078617936
1;0,96;0,87;1;7;0;0,147903508469654
1;0,96;0,8;0,99;8;0;0,147905788226446
1;0,97;0,89;1;7;0;0,147914038241895
1;1;0,84;1;7;0;0,147918431797225
1;1;0,87;1;7;0;0,147918777768846
1;0,93;0,9;1;7;0;0,147929338528586
1;0,9;0,95;1;7;0;0,147929536770632
1;0,95;0,94;1;7;0;0,147933525701053
1;0,97;0,81;1;8;0;0,147938861720138
1;0,97;0,86;1;7;0;0,147947008744887
1;0,99;0,86;1;7;0;0,147956241184081
1;0,98;0,87;1;7;0;0,147960630603843
1;0,99;0,87;1;7;0;0,147970788881466
1;0,98;0,86;1;7;0;0,147971605433919
1;0,99;0,85;1;7;0;0,147974500789918
1;1;0,83;1;7;0;0,147976453857661
1;0,97;0,9;1;7;0;0,147978882346221
1;0,96;0,92;1;7;0;0,147982082289829
1;0,98;0,88;1;7;0;0,147984545647535
1;1;0,88;1;7;0;0,147990614640312
1;0,91;0,93;1;7;0;0,147990901592782
1;0,89;0,96;1;8;0;0,147991557028139
1;0,98;0,85;1;7;0;0,148012945029428
1;0,96;0,86;1;7;0;0,148020573934538
1;0,99;0,84;1;7;0;0,148021390393865
1;0,99;0,88;1;7;0;0,148022567376564
1;0,86;0,99;0,99;8;0;0,148025220159929
1;0,92;0,91;1;7;0;0,148025372738314
1;0,97;0,85;1;7;0;0,148031002826674
1;0,87;0,97;0,99;8;0;0,14803554603613
1;0,98;0,89;1;7;0;0,148048146601511
1;0,95;0,87;1;7;0;0,148051175764041
1;0,88;0,95;0,99;8;0;0,148051762249492
1;0,93;0,85;0,99;8;0;0,148056044012693
1;1;0,98;1;8;0;0,14805869508952
1;0,97;1;1;8;0;0,148060424773388
1;0,94;0,83;0,99;8;0;0,148070127714759
1;0,89;0,93;0,99;8;0;0,148072214728552
1;0,92;0,87;0,99;8;0;0,148074589633025
1;0,94;0,98;1;7;0;0,148081726259662
1;0,94;0,88;1;7;0;0,148086171234014
1;0,97;0,91;1;7;0;0,148090260817133
1;0,98;0,84;1;7;0;0,148091807083856
1;0,95;0,81;0,99;8;0;0,148093257288219
1;0,95;0,95;1;7;0;0,148099593364003
1;0,89;0,96;1;7;0;0,148101903922872
1;1;0,89;1;7;0;0,148105496540262
1;1;0,82;1;7;0;0,148108343871078
1;0,99;0,89;1;7;0;0,148116192603682
1;0,97;0,97;0,99;8;0;0,148118325484208
1;0,99;0,83;1;7;0;0,148118440227069
1;0,95;0,84;1;8;0;0,148122883872794
1;0,96;0,93;1;7;0;0,148131889878604
1;0,96;0,82;1;8;0;0,148132603248877
1;0,93;0,89;1;7;0;0,148137141433473
1;0,88;0,98;1;7;0;0,148137450079671
1;0,91;0,89;0,99;8;0;0,14814859973313
1;0,9;0,91;0,99;8;0;0,148152956208082
1;0,98;0,9;1;7;0;0,148156426402638
1;0,87;0,99;1;8;0;0,148164429709422
1;0,94;0,86;1;8;0;0,14816710526398
1;0,96;0,85;1;7;0;0,148180207772599
1;0,97;0,84;1;7;0;0,148180466745268
1;1;0,95;0,99;8;0;0,148182979469089
1;0,9;0,94;1;7;0;0,148184055668593
1;0,98;0,99;1;8;0;0,148184997589687
1;0,98;0,96;0,99;8;0;0,148185017733096
1;0,87;1;1;7;0;0,148207416255887
1;0,93;0,88;1;8;0;0,148219615727115
1;0,9;0,94;1;8;0;0,14822218797981
1;0,95;0,86;1;7;0;0,148226594598511
1;0,91;0,92;1;7;0;0,148234451097717
1;0,98;0,83;1;7;0;0,148237187580134
1;0,97;0,92;1;7;0;0,148253392342951
1;0,92;0,9;1;7;0;0,148254593362259
1;0,99;0,9;1;7;0;0,148256388929817
1;1;0,81;1;7;0;0,14825955245582
1;0,99;0,82;1;7;0;0,148264927317617
1;1;0,9;1;7;0;0,148267804189407
1;0,97;0,8;1;8;0;0,148269513751361
1;0,92;0,9;1;8;0;0,148270313329303
1;0,94;0,87;1;7;0;0,148280909255524
1;0,94;0,99;1;7;0;0,148284454300371
1;0,98;0,91;1;7;0;0,148314458330476
1;0,91;0,92;1;8;0;0,148315554757715
1;0,95;0,96;1;7;0;0,148316730981231
1;0,93;0,84;0,99;8;0;0,148319665521546
1;0,94;0,82;0,99;8;0;0,148320111302133
1;0,95;0,8;0,99;8;0;0,148333615358458
1;0,96;0,94;1;7;0;0,14833727906433
1;0,97;0,83;1;7;0;0,148342548741452
1;0,88;0,97;1;8;0;0,148347399016551
1;0,96;0,84;1;7;0;0,14835152224931
1;0,93;0,88;1;7;0;0,148351698284776
1;0,92;0,86;0,99;8;0;0,148356366853706
1;0,85;1;0,99;8;0;0,148363562477405
1;0,89;0,95;1;7;0;0,148370585518137
1;0,98;0,82;1;7;0;0,148395253731073
1;0,88;0,97;1;7;0;0,148408808725347
1;0,95;0,85;1;7;0;0,148411776428622
